dataset_name,model_type,error_bound,epochs,memory,horizon,batch_size,hidden_size,train_rmse,rmse,rmse_on_raw,train_start,lr,lr_gamma
lg_only,lr,0,15,60,30,512,-1,0.1491687297821045,0.1339586350339802,0.1339586350339802,2021-10-19 08:26:07.353721,0.005,0.9
lg_only,lr,1,15,60,30,512,-1,0.1521615386009216,0.1379364348616492,0.1370269896445032,2021-10-19 08:30:25.171079,0.005,0.9
lg_only,lr,2,15,60,30,512,-1,0.1540820747613906,0.1363980555964501,0.1330944108837355,2021-10-19 08:34:38.197202,0.005,0.9
lg_only,lr,5,15,60,30,512,-1,0.1542457938194275,0.1346030504057075,0.1345319151033319,2021-10-19 08:38:49.980567,0.005,0.9
lg_only,lr,10,15,60,30,512,-1,0.1555597782135009,0.1365283103800876,0.136853296413449,2021-10-19 08:42:58.069814,0.005,0.9
lg_only,lr,25,15,60,30,512,-1,0.1574989557266235,0.1429072426782444,0.1383679400399576,2021-10-19 08:47:09.503050,0.005,0.9
lg_only,lr,50,15,60,30,512,-1,0.1588336080312729,0.1451356482387156,0.1361312718358452,2021-10-19 08:51:17.874554,0.005,0.9
lg_only,lr,-1,15,60,30,512,-1,0.1492895185947418,0.134281194457551,0.134281194457551,2021-10-19 08:55:29.703113,0.005,0.9
lg_v3_d5,lr,0,15,60,30,512,-1,0.1586374044418335,0.1705438775634064,0.1657269467720727,2021-10-19 08:59:37.183989,0.005,0.9
lg_v3_d5,lr,1,15,60,30,512,-1,0.1680486649274826,0.1720212666712784,0.1684093080775594,2021-10-19 09:03:50.808428,0.005,0.9
lg_v3_d5,lr,2,15,60,30,512,-1,0.1826605349779129,0.1703394493193522,0.1425334295726363,2021-10-19 09:08:05.515179,0.005,0.9
lg_v3_d5,lr,5,15,60,30,512,-1,0.1842557936906814,0.1905487781738712,0.1445794796909869,2021-10-19 09:12:26.415125,0.005,0.9
lg_v3_d5,lr,10,15,60,30,512,-1,0.1902900487184524,0.2070551016083528,0.1504748084327786,2021-10-19 09:16:44.550495,0.005,0.9
lg_v3_d5,lr,25,15,60,30,512,-1,0.1879706382751464,0.1997644910266497,0.1510138432190264,2021-10-19 09:21:05.846154,0.005,0.9
lg_v3_d5,lr,50,15,60,30,512,-1,0.184195339679718,0.1919158075683832,0.144207593326789,2021-10-19 09:25:24.708579,0.005,0.9
