dataset_name,model_type,error_bound,epochs,memory,horizon,batch_size,hidden_size,train_rmse,rmse,rmse_on_raw,train_start,lr,lr_gamma
swing,lstm,0,15,60,30,512,32,0.203985333442688,0.1853663925441988,0.1853663925441988,2021-10-19 13:26:25.584343,0.005,0.9
swing,lr,0,15,60,30,512,-1,0.1492086201906204,0.1342513948323581,0.1342513948323581,2021-10-19 13:34:05.008845,0.005,0.9
swing,lstm,1,15,60,30,512,32,0.2039922177791595,0.1865091184999535,0.1867717943198939,2021-10-19 13:38:04.054662,0.005,0.9
swing,lr,1,15,60,30,512,-1,0.1489494144916534,0.1332939970665502,0.1334214608150098,2021-10-19 13:45:49.615507,0.005,0.9
swing,lstm,2,15,60,30,512,32,0.2036152780055999,0.185911963006856,0.1867065350187237,2021-10-19 13:50:13.132127,0.005,0.9
swing,lr,2,15,60,30,512,-1,0.1489100903272628,0.1339740110934844,0.1343755704261263,2021-10-19 13:58:05.837873,0.005,0.9
swing,lstm,5,15,60,30,512,32,0.2023883014917373,0.1834362616740649,0.1852628838391637,2021-10-19 14:02:19.420729,0.005,0.9
swing,lr,5,15,60,30,512,-1,0.1487940847873687,0.1325496148541665,0.1333858533748622,2021-10-19 14:10:48.991069,0.005,0.9
swing,lstm,10,15,60,30,512,32,0.200381726026535,0.1880157430304363,0.1920041099709222,2021-10-19 14:16:42.362127,0.005,0.9
swing,lr,10,15,60,30,512,-1,0.1466098725795745,0.1327870391141033,0.1356725881858914,2021-10-19 14:25:04.500034,0.005,0.9
swing,lstm,25,15,60,30,512,32,0.1980999559164047,0.1732738413751386,0.182510853342036,2021-10-19 14:29:34.893478,0.005,0.9
swing,lr,25,15,60,30,512,-1,0.1449461579322815,0.1238121738285452,0.1315938227555594,2021-10-19 14:37:50.441514,0.005,0.9
swing,lstm,50,15,60,30,512,32,0.197986826300621,0.1517132128540991,0.1606333124802209,2021-10-19 14:42:11.122322,0.005,0.9
swing,lr,50,15,60,30,512,-1,0.1435247808694839,0.103695808824326,0.1130390123290333,2021-10-19 14:50:30.909687,0.005,0.9
swing,lstm,-1,15,60,30,512,32,0.2044878602027893,0.1863643579422813,0.1863643579422813,2021-10-19 14:54:48.665641,0.005,0.9
swing,lr,-1,15,60,30,512,-1,0.14927299320697784,0.13417625842893946,0.13417625842893946,2021-10-19 15:02:42.939909,0.005,0.9
