dataset_name,model_type,error_bound,train_rmse,rmse,rmse_on_raw,parquet_size_raw,parquet_size_gzip,mean_absolute_error,mean_absolute_percentage_error
lost_gorilla_v1,lr,0,0.1491687297821045,0.1339586350339802,0.1339586350339802,5569599,4995618,0.0,0.0
lost_gorilla_v1,turbo_lstm,0,0.1425596922636032,0.1289227827741442,0.1289227827741442,5569599,4995618,0.0,0.0
lost_gorilla_v1,lr,1,0.1521615386009216,0.1379364348616492,0.1370269896445032,3424433,2827096,1.883954763412476,0.006176621187478304
lost_gorilla_v1,turbo_lstm,1,0.1462530940771103,0.1312356641714781,0.1301785038209227,3424433,2827096,1.883954763412476,0.006176621187478304
lost_gorilla_v1,lr,2,0.1540820747613906,0.1363980555964501,0.1330944108837355,2131749,1556104,2.604416608810425,0.013509661890566349
lost_gorilla_v1,turbo_lstm,2,0.1481319218873977,0.1333696519055125,0.1297223071779485,2131749,1556104,2.604416608810425,0.013509661890566349
lost_gorilla_v1,lr,5,0.1542457938194275,0.1346030504057075,0.1345319151033319,1506682,950643,3.083593368530273,0.014642923139035703
lost_gorilla_v1,turbo_lstm,5,0.1479188948869705,0.1306386245073914,0.1303818465320965,1506682,950643,3.083593368530273,0.014642923139035703
lost_gorilla_v1,lr,10,0.1555597782135009,0.1365283103800876,0.136853296413449,1269894,720317,3.946420907974243,0.01437600143253803
lost_gorilla_v1,turbo_lstm,10,0.1495607197284698,0.1315551411317577,0.1318041250240514,1269894,720317,3.946420907974243,0.01437600143253803
lost_gorilla_v1,lr,25,0.1574989557266235,0.1429072426782444,0.1383679400399576,1227415,683071,5.8981146812438965,0.017453812062740326
lost_gorilla_v1,turbo_lstm,25,0.1503418236970901,0.1369740817274102,0.1323826354283286,1227415,683071,5.8981146812438965,0.017453812062740326
lost_gorilla_v1,lr,50,0.1588336080312729,0.1451356482387156,0.1361312718358452,1221367,675941,8.463390350341799,0.02763804048299789
lost_gorilla_v1,turbo_lstm,50,0.1520109325647354,0.1417245634426995,0.1329716689678479,1221367,675941,8.463390350341799,0.02763804048299789
lost_gorilla_v3_d5,lr,0,0.1586374044418335,0.1705438775634064,0.1657269467720727,5344406,4770113,6.7494468688964835,0.02498285286128521
lost_gorilla_v3_d5,turbo_lstm,0,0.1525278985500335,0.1400723829370327,0.1341867723874067,5344406,4770113,6.7494468688964835,0.02498285286128521
lost_gorilla_v3_d5,lr,1,0.1680486649274826,0.1720212666712784,0.1684093080775594,3243374,2636114,21.69161605834961,0.08345618844032288
lost_gorilla_v3_d5,turbo_lstm,1,0.1621783673763275,0.1472985902504416,0.1423141040939401,3243374,2636114,21.69161605834961,0.08345618844032288
lost_gorilla_v3_d5,lr,2,0.1826605349779129,0.1703394493193522,0.1425334295726363,1977343,1411059,28.04076385498047,0.10590825974941254
lost_gorilla_v3_d5,turbo_lstm,2,0.1755645871162414,0.1680129723674011,0.1409071280751496,1977343,1411059,28.04076385498047,0.10590825974941254
lost_gorilla_v3_d5,lr,5,0.1842557936906814,0.1905487781738712,0.1445794796909869,1449363,896337,29.63091087341309,0.10917599499225616
lost_gorilla_v3_d5,turbo_lstm,5,0.1769534349441528,0.1847008768112389,0.1397343368033318,1449363,896337,29.63091087341309,0.10917599499225616
lost_gorilla_v3_d5,lr,10,0.1902900487184524,0.2070551016083528,0.1504748084327786,1241392,694745,31.71141815185547,0.11305195838212967
